AttributeColumn,Match,Analyte,StdUnits
Tl_,Start_sep,Tl,PPM
Tl_00MXB_ppm,Start_sep,Tl,PPM
Tl_1,Start_sep,Tl,PPM
Tl_100,Start_sep,Tl,PPM
Tl_101,Start_sep,Tl,PPM
Tl_1011,Start_sep,Tl,PPM
Tl_102,Start_sep,Tl,PPM
Tl_1DX15_p,Start_sep,Tl,PPM
Tl_1DX15_ppm,Start_sep,Tl,PPM
Tl_2,Start_sep,Tl,PPM
Tl_20EX1_MS_ppm,Start_sep,Tl,PPM
Tl_3,Start_sep,Tl,PPM
Tl_4,Start_sep,Tl,PPM
Tl_40Q0D_ppm,Start_sep,Tl,PPM
Tl_4A,Start_sep,Tl,PPM
Tl_4A/MS,Start_sep,Tl,PPM
Tl_4A/MS_ppm,Start_sep,Tl,PPM
Tl_4A/OE_ppm,Start_sep,Tl,PPM
Tl_4ABMS_ppm,Start_sep,Tl,PPM
Tl_4AMS_ppm,Start_sep,Tl,PPM
Tl_4AOE_ppm,Start_sep,Tl,PPM
Tl_4Appm,Start_sep,Tl,PPM
Tl_4HSIMS_ppm,Start_sep,Tl,PPM
Tl_5,Start_sep,Tl,PPM
Tl_6,Start_sep,Tl,PPM
Tl_7,Start_sep,Tl,PPM
Tl_784,Start_sep,Tl,PPM
Tl_819,Start_sep,Tl,PPM
Tl_82Q0D_ppm,Start_sep,Tl,PPM
Tl_870,Start_sep,Tl,PPM
Tl_87Q0D_ppm,Start_sep,Tl,PPM
Tl_9,Start_sep,Tl,PPM
Tl_AD02_SCAN_ppm,Start_sep,Tl,PPM
Tl_AMS_ppm,Start_sep,Tl,PPM
Tl_AQ201_PPM,Start_sep,Tl,PPM
Tl_AQR1_ppm,Start_sep,Tl,PPM
Tl_AQR64C_ppm,Start_sep,Tl,PPM
Tl_AQR64_ppm,Start_sep,Tl,PPM
Tl_AQR64_ppm_0_0_05,Start_sep,Tl,PPM
Tl_AQRICP_ppm_0_0_05,Start_sep,Tl,PPM
Tl_AQRIMS_ppm,Start_sep,Tl,PPM
Tl_AR-ICPMS,Start_sep,Tl,PPM
Tl_AR-ICPMS_ppm,Start_sep,Tl,PPM
Tl_AR01_OE_ppm,Start_sep,Tl,PPM
Tl_AR10/OE_ppm,Start_sep,Tl,PPM
Tl_AR1010_ppm,Start_sep,Tl,PPM
Tl_AR102_ppm,Start_sep,Tl,PPM
Tl_AR10MS_ppm,Start_sep,Tl,PPM
Tl_AR10OES_ppm,Start_sep,Tl,PPM
Tl_AR10OE_ppm,Start_sep,Tl,PPM
Tl_AR10_MS_ppm,Start_sep,Tl,PPM
Tl_AR10_OE,Start_sep,Tl,PPM
Tl_AR10_OES_ppm,Start_sep,Tl,PPM
Tl_AR25/MS_C,Start_sep,Tl,PPM
Tl_AR25/MS_F,Start_sep,Tl,PPM
